207	31.062369000	0x09
249	31.086549000	0x01
291	31.499226000	0x09
293	31.500391000	0x01
297	31.501234000	0x09
299	31.502962000	0x01
301	31.664371000	0x09
343	31.690521000	0x01
385	32.071910000	0x09
387	32.073230000	0x09
389	32.074696000	0x01
393	32.078800000	0x09
395	32.080347000	0x01
397	32.081605000	0x09
399	32.082943000	0x01
401	33.325004000	0x09
403	33.326424000	0x09
447	33.350931000	0x01
449	33.352121000	0x09
450	33.352148000	0x09
452	33.353367000	0x01
460	33.358047000	0x09
464	33.360253000	0x01
480	33.368999000	0x09
484	33.371491000	0x01
490	33.373220000	0x09
494	33.375164000	0x01
509	33.383446000	0x01
551	33.408877000	0x09
593	33.434805000	0x01
595	33.437306000	0x09
597	33.438373000	0x09
599	33.439859000	0x01
601	33.441040000	0x09
603	33.442383000	0x01
605	33.443560000	0x09
606	33.443575000	0x09
608	33.444895000	0x09
610	33.446124000	0x01
612	33.447551000	0x01
615	33.455207000	0x09
617	33.456839000	0x01
619	33.464181000	0x09
621	33.465693000	0x01
630	33.477336000	0x09
634	33.478962000	0x01
667	33.499936000	0x09
709	33.526130000	0x09
751	33.563056000	0x09
757	33.568806000	0x09
760	33.570539000	0x01
764	33.572595000	0x09
768	33.574976000	0x01
772	33.577058000	0x09
776	33.579059000	0x01
780	33.581104000	0x09
784	33.583559000	0x01
792	33.588140000	0x09
796	33.590321000	0x01
810	33.599368000	0x09
814	33.601531000	0x01
817	33.603506000	0x09
869	33.634753000	0x09
871	33.636005000	0x09
875	33.637348000	0x01
891	33.804845000	0x09
893	33.806234000	0x01
895	33.807367000	0x09
897	33.808313000	0x01
901	33.809303000	0x09
903	33.811090000	0x01
905	33.812324000	0x09
907	33.813466000	0x01
909	33.817138000	0x09
911	33.818712000	0x01
913	33.825206000	0x09
915	33.826544000	0x01
917	33.857520000	0x09
919	33.858896000	0x01
